problem_name,total_iterations_count,total_function_evaluation,total_gradient_evaluation
ALLINITU,16,16,9
ARGLINA,8,8,8
BARD,8,8,8
BEALE,10,10,7
BIGGS6,66,66,47
BOX3,9,9,9
BRKMCC,4,4,4
BROWNAL,5,5,5
BROWNBS,28,28,27
BROWNDEN,9,9,9
CHNROSNB,68,68,42
CLIFF,28,28,28
CUBE,56,56,27
DENSCHNA,6,6,6
DENSCHNB,6,6,6
DENSCHNC,11,11,11
DENSCHND,50,50,33
DENSCHNE,24,24,14
DENSCHNF,7,7,7
DJTL,1655,1655,1581
ENGVAL2,27,27,16
ERRINROS,66,66,39
EXPFIT,14,14,7
GENROSEB,647,647,290
GROWTHLS,115,115,69
GULF,45,45,33
HAIRY,75,75,31
HATFLDD,26,26,23
HATFLDE,22,22,17
HEART6LS,407,407,310
HEART8LS,94,94,49
HELIX,21,21,12
HIMMELBB,21,21,7
HUMPS,1552,1552,636
HYDC20LS,10001,10001,10001
JENSMP,10,10,10
KOWOSB,10,10,8
LOGHAIRY,2737,2737,1208
MANCINO,27,27,11
MEXHAT,98,98,27
MEYER3,361,361,234
OSBORNEA,468,468,266
OSBORNEB,21,21,18
PALMER5C,8,8,8
PALMER6C,124,124,124
PALMER7C,55,55,55
PALMER8C,303,303,303
PARKCH,1,1,1
PENALTY2,4,4,4
PENALTY3,1,1,1
PFIT1LS,870,870,233
PFIT2LS,246,246,69
PFIT3LS,574,574,168
PFIT4LS,1319,1319,417
ROSENBR,5,5,5
S308,1,1,1
SENSORS,34,34,23
SINEVAL,94,94,43
SISSER,13,13,13
SNAIL,7,7,7
STREG,104,104,52
TOINTGOR,9,9,9
TOINTPSP,30,30,19
VARDIM,3,3,3
VIBRBEAM,261,261,144
WATSON,10,10,10
YFITU,59,59,46
