problem_name,status,total_iterations_count,function_value,gradient_value,total_function_evaluation,total_gradient_evaluation,total_hessian_evaluation
ALLINITU,SUCCESS,10,5.74438491,2.28E-06,11,11,8
ARGLINA,SUCCESS,3,200,1.06E-12,4,4,3
BARD,SUCCESS,10,0.008214877,2.16E-09,11,11,10
BEALE,SUCCESS,9,3.73E-12,1.51E-06,10,10,7
BIGGS6,SUCCESS,79,1.46E-12,2.66E-08,80,80,48
BOX3,SUCCESS,7,1.38E-11,2.28E-06,8,8,7
BRKMCC,SUCCESS,2,0.169042679,6.11E-06,3,3,2
BROWNAL,SUCCESS,5,5.51E-19,4.92E-09,6,6,5
BROWNBS,SUCCESS,42,4.93E-30,4.44E-09,43,43,28
BROWNDEN,SUCCESS,10,85822.20135,2.21E-11,11,11,10
CHNROSNB,SUCCESS,82,3.03E-13,4.18E-06,83,83,58
CLIFF,SUCCESS,27,0.199786614,1.61E-10,28,28,27
CUBE,SUCCESS,51,3.01E-20,2.21E-10,52,52,36
DENSCHNA,SUCCESS,5,2.21E-12,2.97E-06,6,6,5
DENSCHNB,SUCCESS,3,1.23E-32,2.22E-16,4,4,3
DENSCHNC,SUCCESS,10,2.18E-20,7.90E-10,11,11,10
DENSCHND,SUCCESS,38,9.61E-09,6.73E-06,39,39,29
DENSCHNE,SUCCESS,11,8.29E-18,5.76E-09,12,12,9
DENSCHNF,SUCCESS,6,6.51E-22,6.29E-10,7,7,6
DJTL,SUCCESS,165,-8951.544724,1.24E-08,166,166,88
ENGVAL2,SUCCESS,15,5.44E-21,5.07E-09,16,16,14
ERRINROS,SUCCESS,81,39.90415392,8.29E-07,82,82,53
EXPFIT,SUCCESS,6,0.240510594,2.90E-08,7,7,6
GENROSEB,SUCCESS,846,1,2.47E-10,847,847,471
GROWTHLS,ITERARION_LIMIT,10001,1341.420576,14507.86294,10001,10001,5
GULF,SUCCESS,44,4.19E-10,6.01E-06,45,45,30
HAIRY,SUCCESS,41,20,2.25E-06,42,42,28
HATFLDD,SUCCESS,21,6.62E-08,6.56E-06,22,22,18
HATFLDE,SUCCESS,22,5.12E-07,3.51E-06,23,23,18
HEART6LS,SUCCESS,1951,2.14E-22,1.45E-07,1952,1952,1048
HEART8LS,SUCCESS,101,2.02E-19,2.33E-08,102,102,56
HELIX,SUCCESS,14,3.96E-17,2.21E-08,15,15,9
HIMMELBB,SUCCESS,26,1.51E-17,2.05E-06,27,27,15
HUMPS,SUCCESS,457,7.97E-12,1.26E-06,458,458,383
HYDC20LS,SUCCESS,1549,1.10E-10,9.75E-06,1550,1550,954
JENSMP,SUCCESS,9,124.3621824,4.80E-06,10,10,9
KOWOSB,SUCCESS,12,0.000307801,8.14E-08,13,13,9
LOGHAIRY,SUCCESS,1034,0.182321557,7.40E-06,1035,1035,757
MANCINO,SUCCESS,15,1.83E-21,1.20E-07,16,16,13
MEXHAT,SUCCESS,54,-0.04001,1.38E-06,55,55,38
MEYER3,ITERARION_LIMIT,10001,87.94585517,0.000185262,10001,10001,5385
OSBORNEA,ITERARION_LIMIT,10001,0.046761763,948.9214089,10001,10001,5347
OSBORNEB,SUCCESS,50,0.087594724,2.16E-09,51,51,34
PALMER5C,SUCCESS,4,2.128086643,1.29E-13,5,5,4
PALMER6C,SUCCESS,4,0.016387438,2.86E-09,5,5,4
PALMER7C,SUCCESS,5,0.601987195,5.34E-09,6,6,5
PALMER8C,SUCCESS,5,0.159767833,7.68E-10,6,6,5
PARKCH,SUCCESS,30,1623.743258,3.98E-07,31,31,18
PENALTY2,ITERARION_LIMIT,10001,4.71E+13,1.972205179,10001,10001,5070
PENALTY3,SUCCESS,31,0.000999046,4.72E-06,32,32,23
PFIT1LS,SUCCESS,663,3.92E-16,6.17E-08,664,664,426
PFIT2LS,SUCCESS,221,5.94E-17,2.04E-06,222,222,146
PFIT3LS,SUCCESS,235,1.03E-20,1.37E-09,236,236,153
PFIT4LS,SUCCESS,471,4.51E-22,8.13E-10,472,472,308
ROSENBR,SUCCESS,40,1.21E-19,3.27E-10,41,41,28
S308,SUCCESS,19,0.773199056,5.51E-06,20,20,13
SENSORS,SUCCESS,25,-1893.375,4.04E-06,26,26,22
SINEVAL,SUCCESS,101,1.92E-21,3.70E-09,102,102,66
SISSER,SUCCESS,12,1.07E-08,5.52E-06,13,13,12
SNAIL,SUCCESS,140,3.09E-19,1.11E-09,141,141,94
STREG,SUCCESS,39,1.46E-22,1.75E-11,40,40,32
TOINTGOR,SUCCESS,7,1373.905461,4.92E-10,8,8,7
TOINTPSP,SUCCESS,28,225.5604094,4.23E-06,29,29,19
VARDIM,SUCCESS,29,4.46E-23,2.19E-08,30,30,29
VIBRBEAM,SUCCESS,44,0.156446071,1.97E-08,45,45,28
WATSON,SUCCESS,19,2.75E-08,2.51E-06,20,20,12
YFITU,SUCCESS,75,6.67E-13,4.37E-09,76,76,53
