PROBLEM_NAME,CAT_FACTORIZATION,CAT_THETA_ZERO_FACTORIZATION,ARC_G_RULE,NEWTON_TRUST_REGION
ALLINITU,11,11,9,11
ARGLINA,4,4,8,6
BARD,11,11,8,14
BEALE,10,10,7,8
BIGGS6,57,80,47,10001
BOX3,8,8,9,8
BRKMCC,3,3,4,3
BROWNAL,6,6,5,7
BROWNBS,30,43,27,10001
BROWNDEN,11,11,9,12
CHNROSNB,92,83,42,67
CLIFF,28,28,28,28
CUBE,52,52,27,29
DENSCHNA,6,6,6,6
DENSCHNB,4,4,6,10001
DENSCHNC,11,11,11,11
DENSCHND,39,39,33,36
DENSCHNE,12,12,14,14
DENSCHNF,7,7,7,7
DJTL,166,166,1581,96
ENGVAL2,16,16,16,18
ERRINROS,70,82,39,49
EXPFIT,7,7,7,9
GENROSEB,844,847,290,414
GROWTHLS,134,10001,69,85
GULF,50,45,33,32
HAIRY,42,42,31,91
HATFLDD,22,22,23,22
HATFLDE,23,23,17,20
HEART6LS,5766,1952,310,820
HEART8LS,130,102,49,126
HELIX,15,15,12,10
HIMMELBB,14,27,7,23
HUMPS,476,458,636,4498
HYDC20LS,1464,1550,10001,931
JENSMP,10,10,10,10
KOWOSB,13,13,8,9
LOGHAIRY,1087,1035,1208,5957
MANCINO,16,16,11,18
MEXHAT,58,55,27,33
MEYER3,10001,10001,234,306
OSBORNEA,10001,10001,266,36
OSBORNEB,47,51,18,19
PALMER5C,5,5,8,7
PALMER6C,5,5,124,11
PALMER7C,6,6,55,18
PALMER8C,6,6,303,12
PARKCH,27,31,1,21
PENALTY2,10001,10001,4,18
PENALTY3,29,32,1,21
PFIT1LS,651,664,233,338
PFIT2LS,262,222,69,191
PFIT3LS,260,236,168,156
PFIT4LS,509,472,417,287
ROSENBR,41,41,5,26
S308,20,20,1,9
SENSORS,26,26,23,27
SINEVAL,91,102,43,53
SISSER,13,13,13,13
SNAIL,137,141,7,76
STREG,35,40,52,10001
TOINTGOR,8,8,9,9
TOINTPSP,29,29,19,25
VARDIM,30,30,3,30
VIBRBEAM,80,45,144,59
WATSON,13,20,10,13
YFITU,113,76,46,49
